cons_model,mut_model,chrom,Ne,ll
split_cds_phastcons,roulette,5,33914.0625,-25579816178.22747
split_cds_phastcons,roulette,6,36398.4375,-24840018946.839317
split_cds_phastcons,roulette,7,34359.375,-21864247429.77363
split_cds_phastcons,roulette,8,33246.09375,-22054045662.889698
split_cds_phastcons,roulette,9,34242.1875,-16473057292.21598
split_cds_phastcons,roulette,10,34781.25,-19274724525.849632
split_cds_phastcons,roulette,11,34804.6875,-18992786021.446648
split_cds_phastcons,roulette,12,33914.0625,-17840428355.10086
split_cds_phastcons,roulette,13,32285.15625,-14541535368.67984
split_cds_phastcons,roulette,14,33462.890625,-12377724654.104982
split_cds_phastcons,roulette,15,35636.71875,-11026775398.158718
split_cds_phastcons,roulette,16,31968.75,-11495266087.946167
split_cds_phastcons,roulette,17,32753.90625,-9516747386.934135
split_cds_phastcons,roulette,18,32894.53125,-11386295584.44027
split_cds_phastcons,roulette,19,32320.3125,-6963158842.680405
split_cds_phastcons,roulette,20,33474.609375,-8753098175.17579
split_cds_phastcons,roulette,21,33773.4375,-5483354281.405383
split_cds_phastcons,roulette,22,33597.65625,-4735516715.231716
split_cds_phastcons,gnomad,1,36070.3125,-29692245037.493057
split_cds_phastcons,gnomad,2,35226.5625,-33069828554.687862
split_cds_phastcons,gnomad,3,37265.625,-28228900271.362312
split_cds_phastcons,gnomad,4,36070.3125,-28587449757.898613
split_cds_phastcons,gnomad,5,36257.8125,-25614736009.646027
split_cds_phastcons,gnomad,6,38273.4375,-24856272908.146454
split_cds_phastcons,gnomad,7,36656.25,-21904714111.219475
split_cds_phastcons,gnomad,8,37804.6875,-22122097253.851715
split_cds_phastcons,gnomad,9,37687.5,-16503569124.19748
split_cds_phastcons,gnomad,10,36679.6875,-19290468751.186924
split_cds_phastcons,gnomad,11,37195.3125,-19006936594.05789
split_cds_phastcons,gnomad,12,35332.03125,-17858970271.24157
split_cds_phastcons,gnomad,13,34148.4375,-14550767818.125776
split_cds_phastcons,gnomad,14,35062.5,-12393580750.494484
split_cds_phastcons,gnomad,15,37546.875,-11039706327.922405
split_cds_phastcons,gnomad,16,37265.625,-11544641938.061687
split_cds_phastcons,gnomad,17,33316.40625,-9533038932.938156
split_cds_phastcons,gnomad,18,34593.75,-11394139966.200472
split_cds_phastcons,gnomad,19,32583.984375,-6985985535.058451
split_cds_phastcons,gnomad,20,34605.46875,-8763996782.547436
split_cds_phastcons,gnomad,21,35777.34375,-5488718815.909847
split_cds_phastcons,gnomad,22,34675.78125,-4742060331.118281
split_cds_phastcons,carlson,1,29109.375,-27556777081.52088
split_cds_phastcons,carlson,2,27726.5625,-30762733838.208023
split_cds_phastcons,carlson,3,28951.171875,-25982241199.259068
split_cds_phastcons,carlson,4,27304.6875,-26661871645.23194
split_cds_phastcons,carlson,5,28148.4375,-23698028390.388054
split_cds_phastcons,carlson,6,30175.78125,-22537196962.060547
split_cds_phastcons,carlson,7,28751.953125,-19620733238.615005
split_cds_phastcons,carlson,8,29015.625,-19716425636.21592
split_cds_phastcons,carlson,9,29408.203125,-14231389628.538591
split_cds_phastcons,carlson,10,29613.28125,-17062995842.822697
split_cds_phastcons,carlson,11,29507.8125,-17119355291.167374
split_cds_phastcons,carlson,12,28306.640625,-15933881036.595272
split_cds_phastcons,carlson,13,25746.09375,-12703360656.595966
split_cds_phastcons,carlson,14,27070.3125,-10564843296.792473
split_cds_phastcons,carlson,15,30284.1796875,-9460469443.105003
split_cds_phastcons,carlson,16,30222.65625,-9550523089.847672
split_cds_phastcons,carlson,17,27773.4375,-7723352392.441521
split_cds_phastcons,carlson,18,26648.4375,-9502041204.90203
split_cds_phastcons,carlson,19,28939.453125,-4758577390.572974
split_cds_phastcons,carlson,20,28060.546875,-6952621105.475089
split_cds_phastcons,carlson,21,27656.25,-3877382306.8467374
split_cds_phastcons,carlson,22,30187.5,-3129283170.1670766
