chrom,mut_model,elem_type,U
6,gnomad,phastcons_30-35,0.036334053672164475
6,gnomad,phastcons_35-40,0.03883580604346392
6,gnomad,phastcons_40-45,0.03936901419371654
6,gnomad,phastcons_45-50,0.03803844891436218
6,gnomad,phastcons_50-55,0.04398944419739192
6,gnomad,phastcons_55-60,0.03927305097430503
6,roulette,cds_merged,0.023257807720634304
6,roulette,promoters,0.018242559961682114
6,roulette,enhancers,0.17946211593654063
6,roulette,cds_lof_d1,0.0027126763125000005
6,roulette,cds_lof_d2,0.00299671036
6,roulette,cds_lof_d3,0.003309788328
6,roulette,cds_lof_d4,0.0024096121133236285
6,roulette,cds_lof_d5,0.002199537326693104
6,roulette,cds_lof_d6,0.002064010358331087
6,roulette,cds_lof_d7,0.0014104150019479196
6,roulette,cds_lof_d8,0.001919915434006863
6,roulette,cds_lof_d9,0.0016980067873920964
6,roulette,cds_lof_d10,0.0022395248405423242
6,roulette,cds_lof_d11,0.00043958244224999996
6,roulette,phastcons_0-5,0.04836626489836258
6,roulette,phastcons_5-10,0.04306936274362053
6,roulette,phastcons_10-15,0.037366274885966486
6,roulette,phastcons_15-20,0.035637626924984976
6,roulette,phastcons_20-25,0.03549199696899933
6,roulette,phastcons_25-30,0.03644159577814875
6,roulette,phastcons_30-35,0.03610908304312129
6,roulette,phastcons_35-40,0.038656495491014166
6,roulette,phastcons_40-45,0.03927572772994374
6,roulette,phastcons_45-50,0.03801923003620549
6,roulette,phastcons_50-55,0.044044973956959256
6,roulette,phastcons_55-60,0.03937484850490749
7,carlson,cds_merged,0.026138961066118772
7,carlson,promoters,0.02049402700152508
7,carlson,enhancers,0.18270648875535955
7,carlson,cds_lof_d1,0.0027997611218260527
7,carlson,cds_lof_d2,0.003617688083633384
7,carlson,cds_lof_d3,0.0034943897989830512
7,carlson,cds_lof_d4,0.0025019291893537882
7,carlson,cds_lof_d5,0.0023765982897200094
7,carlson,cds_lof_d6,0.0016476702449527041
7,carlson,cds_lof_d7,0.0019667772044464015
7,carlson,cds_lof_d8,0.001908837508938857
7,carlson,cds_lof_d9,0.0018932567984983836
7,carlson,cds_lof_d10,0.003037632070973912
7,carlson,cds_lof_d11,0.0010120198056064206
7,carlson,phastcons_0-5,0.05570441584700235
7,carlson,phastcons_5-10,0.04786202378491172
7,carlson,phastcons_10-15,0.04144038832425509
7,carlson,phastcons_15-20,0.03920806455245633
7,carlson,phastcons_20-25,0.038855309849978016
7,carlson,phastcons_25-30,0.03976179772380003
7,carlson,phastcons_30-35,0.0392196292933182
7,carlson,phastcons_35-40,0.04198105181309954
7,carlson,phastcons_40-45,0.042615725650108315
7,carlson,phastcons_45-50,0.041216889300847236
7,carlson,phastcons_50-55,0.047655248922767554
7,carlson,phastcons_55-60,0.04262774593902439
7,gnomad,cds_merged,0.024986559733775046
7,gnomad,promoters,0.021126275627170975
7,gnomad,enhancers,0.14283508883582985
7,gnomad,cds_lof_d1,0.00269808167825
7,gnomad,cds_lof_d2,0.0035658172060000002
7,gnomad,cds_lof_d3,0.0033652769475415348
7,gnomad,cds_lof_d4,0.0024474620607066433
7,gnomad,cds_lof_d5,0.002251498268937671
7,gnomad,cds_lof_d6,0.0015088662269081828
7,gnomad,cds_lof_d7,0.0018908844144143375
7,gnomad,cds_lof_d8,0.0018088423839707523
7,gnomad,cds_lof_d9,0.0018642392108482028
7,gnomad,cds_lof_d10,0.002586372496674762
7,gnomad,cds_lof_d11,0.0011363884511925763
7,gnomad,phastcons_0-5,0.04364980625982108
7,gnomad,phastcons_5-10,0.037261456834645164
7,gnomad,phastcons_10-15,0.03215034525736206
7,gnomad,phastcons_15-20,0.03040298908171224
7,gnomad,phastcons_20-25,0.03013772466846974
7,gnomad,phastcons_25-30,0.030825859651803362
7,gnomad,phastcons_30-35,0.030437034419538378
7,gnomad,phastcons_35-40,0.03261450879866075
7,gnomad,phastcons_40-45,0.03314582389199257
7,gnomad,phastcons_45-50,0.03208491913274756
7,gnomad,phastcons_50-55,0.03713221694892776
7,gnomad,phastcons_55-60,0.03327827231268343
7,roulette,cds_merged,0.02373568034339414
7,roulette,promoters,0.015853462990068058
7,roulette,enhancers,0.1475118651263072
7,roulette,cds_lof_d1,0.0026302893207500004
7,roulette,cds_lof_d2,0.003287391947
7,roulette,cds_lof_d3,0.0031585028452081145
7,roulette,cds_lof_d4,0.0023333998806397893
7,roulette,cds_lof_d5,0.0021171495439689264
7,roulette,cds_lof_d6,0.0014304104899671719
7,roulette,cds_lof_d7,0.0018055861361252045
7,roulette,cds_lof_d8,0.0017450010193250146
7,roulette,cds_lof_d9,0.0017048157941524436
7,roulette,cds_lof_d10,0.002596912422356588
7,roulette,cds_lof_d11,0.00105540956375377
7,roulette,phastcons_0-5,0.042957525520598915
7,roulette,phastcons_5-10,0.037079160301662584
7,roulette,phastcons_10-15,0.032255895227488486
7,roulette,phastcons_15-20,0.030630790297859894
7,roulette,phastcons_20-25,0.030444392253958726
7,roulette,phastcons_25-30,0.03121491758587916
7,roulette,phastcons_30-35,0.03088886501335749
7,roulette,phastcons_35-40,0.033132069262652164
7,roulette,phastcons_40-45,0.03372387391125298
7,roulette,phastcons_45-50,0.03271234834412309
7,roulette,phastcons_50-55,0.03792025432804064
7,roulette,phastcons_55-60,0.034038705969395254
8,carlson,cds_merged,0.018507549313231064
8,carlson,promoters,0.01693042765028304
8,carlson,enhancers,0.16912243139432284
8,carlson,cds_lof_d1,0.002368041893329548
8,carlson,cds_lof_d2,0.0022380907838181223
8,carlson,cds_lof_d3,0.001909237033569339
8,carlson,cds_lof_d4,0.002377956177571941
8,carlson,cds_lof_d5,0.0017050206730805267
8,carlson,cds_lof_d6,0.0013901969497696618
8,carlson,cds_lof_d7,0.0011660811237833937
8,carlson,cds_lof_d8,0.00113288058285343
8,carlson,cds_lof_d9,0.0011509460215742065
8,carlson,cds_lof_d10,0.0022380194772468275
8,carlson,cds_lof_d11,0.0007823812322070295
8,carlson,phastcons_0-5,0.04611735295633163
8,carlson,phastcons_5-10,0.040373385279409035
8,carlson,phastcons_10-15,0.035432966628323716
8,carlson,phastcons_15-20,0.034056013160690145
8,carlson,phastcons_20-25,0.03429512166516107
8,carlson,phastcons_25-30,0.035663312466065786
8,carlson,phastcons_30-35,0.03568698660089584
8,carlson,phastcons_35-40,0.03845377260766959
8,carlson,phastcons_40-45,0.03953426269962081
8,carlson,phastcons_45-50,0.03857296786626591
8,carlson,phastcons_50-55,0.04511085852765851
8,carlson,phastcons_55-60,0.04066620356469427
8,gnomad,cds_merged,0.018010446491112934
8,gnomad,promoters,0.01739154909211373
8,gnomad,enhancers,0.13176535505793296
8,gnomad,cds_lof_d1,0.00215329463825
8,gnomad,cds_lof_d2,0.00211515215625
8,gnomad,cds_lof_d3,0.00177188747925
8,gnomad,cds_lof_d4,0.00243939695125
8,gnomad,cds_lof_d5,0.0016290960509462238
